"A,a","like 'ah' in 'father'","amor",
"B,b","like 'b' in 'bed'","bueno",
"C,c","before 'a', 'o', 'u', like 'k' in 'cat'; before 'e', 'i', like 'th' in 'thin'","casa, cinco",
"CH,ch","like 'ch' in 'church'","chocolate",
"D,d","like 'd' in 'dog'","dado",
"E,e","like 'e' in 'bet'","elefante",
"F,f","like 'f' in 'fish'","familia",
"G,g","before 'a', 'o', 'u', like 'g' in 'go'; before 'e', 'i', like 'h' in 'hot'","gato, general",
"H,h","silent, like no sound","hola",
"I,i","like 'ee' in 'see'","isla",
"J,j","like 'h' in 'hot'","jamon",
"K,k","like 'k' in 'kite'","kilo",
"L,l","like 'l' in 'love'","libro",
"LL,ll","like 'y' in 'yes'","llamar",
"M,m","like 'm' in 'man'","mano",
"N,n","like 'n' in 'no'","noche",
"Ñ,ñ","like 'ny' in 'canyon'","niño",
"O,o","like 'o' in 'not'","oso",
"P,p","like 'p' in 'pat'","perro",
"Q,q","like 'k' in 'kite'","queso",
"R,r","single 'r', like 'tt' in 'butter' (American English); double 'r', rolled 'r'","caro, carro",
"S,s","like 's' in 'snake'","sol",
"T,t","like 't' in 'top'","taza",
"U,u","like 'oo' in 'moo'","uva",
"V,v","like 'b' in 'bed'","verde",
"W,w","like 'w' in 'west'","wafle",
"X,x","like 'ks' in 'box'","extra",
"Y,y","like 'y' in 'yes'","yo",
"Z,z","like 'th' in 'thin'","zapato"
